                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8667,                 4.2627,                  4.273,                      0,                      0,                      0,                      0,                      0,                 29.356,                      0,             0.00048343,             0.00048343,             0.00048343
                      2,                 3.8443,                  4.143,                 4.1933,                      0,                      0,                      0,                      0,                      0,                 26.493,                      0,             0.00093485,             0.00093485,             0.00093485
                      3,                 3.7433,                 4.1022,                 4.1338,                      0,                      0,                      0,                      0,                      0,                 23.797,                      0,              0.0013368,              0.0013368,              0.0013368
                      4,                 3.6486,                 3.8753,                 4.1051,                      0,                      0,                      0,                      0,                      0,                 18.648,                      0,              0.0014195,              0.0014195,              0.0014195
                      5,                 3.4573,                 3.8545,                  4.021,                      0,                      0,                      0,                      0,                      0,                 25.201,                      0,              0.0014195,              0.0014195,              0.0014195
                      6,                 3.3815,                 3.7375,                 3.9234,                      0,                      0,                      0,                      0,                      0,                 319.67,                      0,              0.0013369,              0.0013369,              0.0013369
                      7,                 3.4011,                 3.8357,                 3.8283,                      0,                      0,                      0,                      0,                      0,                 472.45,                      0,              0.0012544,              0.0012544,              0.0012544
                      8,                 3.4138,                 3.6957,                 3.6934,                      0,                      0,                      0,                      0,                      0,                  628.8,                      0,              0.0011719,              0.0011719,              0.0011719
                      9,                 3.2649,                 3.4774,                  3.634,                      0,                      0,                      0,                      0,                      0,                 747.64,                      0,              0.0010894,              0.0010894,              0.0010894
                     10,                 3.1714,                 3.3732,                 3.5144,                      0,                      0,                      0,                      0,                      0,                   1731,                      0,              0.0010069,              0.0010069,              0.0010069
                     11,                  3.036,                 3.7668,                 3.4165,                      0,                      0,                      0,                      0,                      0,                 416.23,                      0,             0.00092435,             0.00092435,             0.00092435
                     12,                 2.9468,                 3.8536,                 3.3896,                      0,                      0,                      0,                      0,                      0,                 98.478,                      0,             0.00084184,             0.00084184,             0.00084184
                     13,                 3.0588,                 3.8299,                 3.3325,                      0,                      0,                      0,                      0,                      0,                 51.221,                      0,             0.00075932,             0.00075932,             0.00075932
                     14,                  2.795,                  3.627,                 3.3386,                      0,                      0,                      0,                      0,                      0,                 59.186,                      0,              0.0006768,              0.0006768,              0.0006768
                     15,                 2.9856,                 3.7414,                 3.2649,                      0,                      0,                      0,                      0,                      0,                 72.404,                      0,             0.00059429,             0.00059429,             0.00059429
                     16,                 2.9252,                 3.5244,                 3.2919,                      0,                      0,                      0,                      0,                      0,                 99.396,                      0,             0.00051177,             0.00051177,             0.00051177
                     17,                 2.8857,                 3.5617,                 3.1829,                      0,                      0,                      0,                      0,                      0,                 61.192,                      0,             0.00042925,             0.00042925,             0.00042925
                     18,                 2.8461,                 3.5737,                 3.1542,                      0,                      0,                      0,                      0,                      0,                 48.916,                      0,             0.00034674,             0.00034674,             0.00034674
                     19,                 2.8546,                 3.5417,                 3.1737,                      0,                      0,                      0,                      0,                      0,                 48.294,                      0,             0.00026422,             0.00026422,             0.00026422
                     20,                 2.8353,                 3.5012,                 3.0758,                      0,                      0,                      0,                      0,                      0,                 52.344,                      0,              0.0001817,              0.0001817,              0.0001817
